Cluster 0 of PKA,Cluster1 of PKA,Cluster 0 of Sieve,Cluster 1 of Sieve,Cluster 0 of Photon,Cluster 1 of Photon
,1344,,,2176,
,1344,,,2176,
,3232,,,2144,
,1376,,,2175,
,1856,,,2304,
,1984,,,2144,
,1344,,,2112,
,2529,,,2112,
,1344,,,2113,
,3136,,,2112,
,1344,,,2144,
,2080,,,2112,
,1312,,,2240,
,2529,,,2176,
,2112,,,2496,
,2112,,,2144,
,2112,,,2176,
,2144,,,2176,
,2176,,,2144,
,2144,,,2144,
,2144,,,2144,
,2336,,,2144,
,2112,,,2240,
,2144,,,2144,
,2177,,,2113,
,2176,,,2144,
,2144,,,2176,
,2144,,,2176,
,2144,,,2144,
,2271,,,2144,
,2112,,,2272,
,2112,,,2144,
,2144,,,2145,
,2144,,,2176,
,2144,,,2112,
,2111,,,2111,
,2144,,,2112,
,2272,,,2144,
,2176,,,2304,
,4193,,,2144,
,4672,,,2497,
,2080,,,2144,
,1440,,,2176,
,1312,,,2144,
,1343,,,2176,
,3264,,,2175,
,1376,,,2144,
,1888,,,2176,
,1952,,,2271,
,1376,,,2144,
,2528,,,2112,
,1408,,,2176,
,3104,,,2144,
